Y;X;date_from;date_to;Operation time;Last year;Use data;gaw_id;platform_id;platform_name;TEMIS Dataset index (in TEMIS sheet);TEMIS_dataset_name;TEMIS Lat;TEMIS Lon;Diff_lat_lon;dx  (from https://www.kompf.de/gps/distcalc.html, Verbesserte Methode);dy;Distance;wmo_region;contributor_name;revision_date;country_code;elevation;elevation
-19.76;63.37;2020/07/15 06:00:02+00;;#WERT!;#WERT!;#WERT!;;532;AnseQuitor;464;Reunion_Island_teff.dat;-20.901;55.484;9.027;823.0543811;126.9933;832.7939797;I;UniversitÃ© de La RÃ©union;2020/07/15 06:00:02+00;MUS;32;32
-19.76;63.37;2017/05/09 00:00:00+00;2020/06/05 00:00:00+00;3.076712329;2020;0;None;532;AnseQuitor;464;Reunion_Island_teff.dat;-20.901;55.484;9.027;823.0543811;126.9933;832.7939797;I;UniversitÃ© de La RÃ©union;;MUS;;
-18.92;47.56;2020/07/15 06:00:02+00;;#WERT!;#WERT!;#WERT!;;531;Antananarivo;464;Reunion_Island_teff.dat;-20.901;55.484;9.905;-829.2434993;220.4853;858.0550965;I;UniversitÃ© de La RÃ©union;2020/07/15 06:00:02+00;MDG;1370;1370
-18.92;47.56;2016/11/01 00:00:00+00;2020/04/28 00:00:00+00;3.490410959;2020;0;None;531;Antananarivo;464;Reunion_Island_teff.dat;-20.901;55.484;9.905;-829.2434993;220.4853;858.0550965;I;UniversitÃ© de La RÃ©union;;MDG;;
45.74219894;7.356999874;2006/07/24 08:12:19+00;2023/07/31 06:16:51+00;17.03013699;2023;1;AST;479;Aosta;30;Aosta_teff.dat;45.742;7.357;0.000199066;-9.78857E-06;0.022142022;0.022142024;VI;Aosta Valley Regional Environmental Protection Agency of Italy;2023/03/27 21:02:01+00;ITA;569;569
46.47000122;61.38999939;1974/01/01 00:00:00+00;1995/02/01 00:00:00+00;21.09863014;1995;1;ARS;182;Aral Sea;31;Aralskoe_More_teff.dat;46.783;61.667;0.58999939;-21.17610048;-34.83676421;40.76796993;II;Main Geophysical Observatory of  Russia;;KAZ;62;62
64.58000183;40.5;1974/03/02 00:00:00+00;2022/11/01 00:00:00+00;48.70136986;2022;1;AHK;271;Arkhangel'sk;33;Arkhangelsk_teff.dat;64.55;40.58;0.11000183;-3.825860231;3.339203679;5.078138214;VI;Main Geophysical Observatory of  Russia;2018/04/24 12:51:59+00;RUS;13;13
46.78150177;9.667409897;1926/07/23 00:00:00+00;2021/11/27 09:53:43+00;95.41369863;2021;1;ARO;35;Arosa;36;Arosa_teff.dat;46.78;9.68;0.014091873;-0.959741518;0.167147001;0.974187816;VI;MeteoSwiss (formerly Swiss Meteorological Institute);2019/06/04 15:53:39+00;CHE;1840;1840
-77.83200073;166.6600037;2010/02/16 00:00:00+00;2014/04/30 00:16:08+00;4.202739726;2014;0;ARH;268;Arrival Heights;37;Arrival_heights_teff.dat;-77.83;166.67;0.01199703;-0.234807756;-0.222681249;0.323607202;the Antarctic;NOAA-Earth System Research Laboratory-Global Monitoring Division;;ATA;184;184
-77.83200073;166.6600037;1989/12/13 21:06:04+00;2010/02/15 00:01:08+00;20.1890411;2010;1;ARH;268;Arrival Heights;37;Arrival_heights_teff.dat;-77.83;166.67;0.01199703;-0.234807756;-0.222681249;0.323607202;the Antarctic;National Science Foundation - USA;;ATA;184;184
-77.83200073;166.6600037;1988/01/19 00:00:00+00;2022/11/02 00:00:00+00;34.8109589;2022;1;ARH;268;Arrival Heights;37;Arrival_heights_teff.dat;-77.83;166.67;0.01199703;-0.234807756;-0.222681249;0.323607202;the Antarctic;National Institute of Water and Atmospheric Research of New Zealand;2019/04/15 11:31:55+00;ATA;184;184
-62.18000031;-58.90000153;1998/05/08 00:00:00+00;2014/08/22 00:00:00+00;16.30136986;2014;1;ART;351;Artigas;272;King_George_Island_teff.dat;-62.185;-58.904;0.00899816;0.20775672;0.556465497;0.593983757;III;Uruguayan Antarctic Institute - Air Force Weather Service;2018/05/04 13:55:15+00;URY;10;10
-7.96999979;-14.39999962;1998/01/02 13:30:00+00;2017/12/27 12:43:52+00;19.99726027;2017;1;ASC;328;Ascension Island;38;Ascension_Island_teff.dat;-7.98;-14.42;0.03000059;2.204521681;1.113023373;2.469562081;I;NASA - Wallops Island Flight Facility;2017/09/25 18:44:27+00;SHN;91;91
-7.96999979;-14.39999962;1990/07/28 19:00:00+00;1998/12/21 13:00:00+00;8.405479452;1998;1;ASC;328;Ascension Island;38;Ascension_Island_teff.dat;-7.98;-14.42;0.03000059;2.204521681;1.113023373;2.469562081;I;NASA - Langley Research Center;;SHN;91;91
37.96666718;58.31666565;1974/01/01 00:00:00+00;1992/12/01 00:00:00+00;18.92876712;1992;1;ASG;90;Ashgabat;39;Ashkhabad_teff.dat;37.967;58.333;0.01666717;-1.433401389;-0.037042866;1.433879952;II;Main Geophysical Observatory of  Russia;;TKM;200;200
-38.02999878;145.1000061;1957/07/01 00:00:00+00;1982/12/01 00:00:00+00;25.43561644;1982;1;APL;26;Aspendale;40;Aspendale_teff.dat;-38.03;145.1;7.32E-06;0.000534838;0.000135786;0.000551805;V;Australian Bureau of Meteorology;2019/06/04 15:53:39+00;AUS;1;1
52.13999939;-107.0599976;1988/01/26 00:00:00+00;1992/06/01 00:00:00+00;4.350684932;1992;0;ASQ;291;Asquith;41;Asquith_(grandora)_teff.dat;52.14;-107.06;3.01E-06;0.000163977;-6.7893E-05;0.000177476;IV;Meteorological Service of Canada (Atmospheric Environment Service);;CAN;519;519
23.96666718;32.78333282;1984/12/03 00:00:00+00;2021/08/01 00:00:00+00;36.68493151;2021;1;ASW;245;Aswan;43;Aswan_teff.dat;23.967;32.783;0.00066564;0.033850245;-0.037042866;0.050179807;I;Egyptian Meteorological Authority;2019/06/04 15:53:39+00;EGY;194;194
37.97999954;23.72999954;1989/10/20 00:00:00+00;2019/09/01 00:00:00+00;29.88493151;2019;1;ATH;293;Athens;44;Athens_teff.dat;37.98;23.73;9.2E-07;-4.03595E-05;-5.1198E-05;6.5193E-05;VI;University of Athens;2019/04/25 20:56:36+00;GRC;280;280
33.7480011;-84.41500092;1996/05/30 07:57:02+00;2003/07/10 05:25:26+00;7.115068493;2003;1;ATL;380;Atlanta (GA);45;Atlanta_teff.dat;33.45;-84.24;0.47300202;-16.22468904;33.16752243;36.92323224;IV;US Environmental Protection Agency and the University of Georgia at Athens;;USA;315;315
47.02999878;51.84999847;1976/01/01 00:00:00+00;2022/06/01 00:00:00+00;46.44657534;2022;1;AYY;183;Atyray;199;Gurev_teff.dat;47.03;51.85;2.75E-06;-0.000116091;-0.000135786;0.000178648;II;Main Geophysical Observatory of  Russia;2018/05/04 13:53:54+00;KAZ;-1;-1
47.9592;16.2057;2019/03/25 00:00:00+00;2022/06/30 00:00:00+00;3.268493151;2022;1;;502;BadVÃ¶slau;600;Vienna_teff.dat;48.12;16.22;0.1751;-1.064351033;-17.89704;17.92866096;VI;Austrian UV network - Innsbruck Medical University;2019/03/25 18:03:12+00;AUT;268;268
47.9592;16.2057;1997/01/02 00:00:00+00;2022/06/30 00:00:00+00;25.50684932;2022;1;None;502;BadVÃ¶slau;600;Vienna_teff.dat;48.12;16.22;0.1751;-1.064351033;-17.89704;17.92866096;VI;Austrian UV network - Innsbruck Medical University;;AUT;268;268
13.67000008;100.6200027;1979/11/01 00:00:00+00;2023/07/01 00:00:00+00;43.69315068;2023;1;BKK;216;Bangna Bangkok;52;Bangkok_teff.dat;13.667;100.612;0.01100278;0.865484614;0.333908904;0.927663071;II;Thailand Meteorological Department;2021/10/25 20:10:19+00;THA;53;53
78.04;14.15;2021/04/27 18:00:01+00;2022/10/01 00:00:00+00;1.430136986;2022;1;;302;Barentsburg;318;Longyear_teff.dat;78.217;15.583;1.61;-32.85061895;-19.7001;38.3047922;VI;Main Geophysical Observatory of Russia;2021/04/27 18:00:01+00;RUS;73;73
78.04;14.15;2020/03/03 00:00:00+00;2022/10/01 00:00:00+00;2.580821918;2022;1;None;302;Barentsburg;318;Longyear_teff.dat;78.217;15.583;1.61;-32.85061895;-19.7001;38.3047922;VI;Main Geophysical Observatory of  Russia;;RUS;;
22.02;-159.79;1967/09/17 00:14:00+00;1971/03/03 21:58:00+00;3.460273973;1971;0;None;518;Barking Sands;348;Mauna_Loa_teff.dat;19.536;-155.576;6.698;-438.5255566;276.4692;518.4012754;IV;NASA Goddard Space Flight Center;2018/04/24 12:51:55+00;USA;7;7
71.32301331;-156.6114655;1973/07/29 00:00:00+00;2022/09/09 00:00:00+00;49.14794521;2022;1;BRW;199;Barrow (AK);53;Barrow_teff.dat;71.317;-156.6;0.01747881;-0.408999257;0.669281403;0.784358329;IV;NOAA - Climate Monitoring and Diagnostics Laboratory;2020/11/17 14:08:11+00;USA;11;11
71.32301331;-156.6114655;1991/01/23 22:01:06+00;2014/11/28 22:01:08+00;23.8630137;2014;1;BRW;199;Barrow (AK);53;Barrow_teff.dat;71.317;-156.6;0.01747881;-0.408999257;0.669281403;0.784358329;IV;National Science Foundation - USA;;USA;11;11
-70.43000031;24.31999969;1965/02/23 00:00:00+00;1966/12/01 00:00:00+00;1.769863014;1966;0;BKB;81;Base King Baudoin;453;Princess_Elisabeth_teff.dat;-71.95;23.35;2.48999938;34.83390528;169.1759655;172.7249497;the Antarctic;Royal Meteorological Institute of Belgium;2019/06/04 15:53:36+00;ATA;38;38
30.36000061;-91.16999817;2001/01/01 00:00:00+00;2006/09/28 00:00:00+00;5.742465753;2006;1;BTR;355;Baton Rouge (LA);55;Baton_Rouge_teff.dat;30.23;-91.11;0.18999878;-5.766209585;14.46906789;15.57572145;IV;US Department of Agriculture - Colorado State University;;USA;7;7
-22.347;-49.027;1995/11/21 00:00:00+00;2020/12/01 00:00:00+00;25.04657534;2020;1;BAU;446;Bauru;56;Bauru_teff.dat;-22.347;-49.027;0;0;0;0;III;National Centre for Scientific Research - France;2019/01/21 16:59:31+00;BRA;300;300
42.45000076;-71.26999664;1963/10/07 00:00:00+00;1971/03/23 15:00:00+00;7.463013699;1971;1;BED;104;Bedford (LA);75;Boston_teff.dat;42.19;-71.05;0.4799974;-18.10687378;28.93808459;34.13607502;IV;NOAA - Climate Monitoring and Diagnostics Laboratory;;USA;80;80
44.50999832;20.22999954;2009/03/01 00:00:00+00;2011/08/30 00:00:00+00;2.498630137;2011;0;PDJ;486;Belgrade;405;Novi_Sad_teff.dat;45.245;19.853;1.11200122;29.73797779;-81.80568698;87.04319471;VI;Institute of Physics - Serbia;;SRB;103;103
-77.8769455;-34.6269455;1992/01/20 00:00:00+00;2010/12/01 00:00:00+00;18.87671233;2010;1;BLG;314;Belgrano II;61;Belgrano_teff.dat;-77.867;-34.633;0.016;0.141745999;-1.10693415;1.115972733;the Antarctic;Italian National Centre for Research;;ATA;255;255
-77.8769455;-34.6269455;2011/01/01 00:00:00+00;2014/12/01 00:00:00+00;3.917808219;2014;0;BLG;314;Belgrano II;61;Belgrano_teff.dat;-77.867;-34.633;0.016;0.141745999;-1.10693415;1.115972733;the Antarctic;"Institute of Acoustics and Sensors ""Orso Mario Corbino""";;ATA;255;255
51.84000015;20.79000092;1963/03/23 00:00:00+00;2023/08/01 00:00:00+00;60.4;2023;1;COG;68;Belsk;62;Belsk_teff.dat;51.84;20.79;1.07E-06;6.32801E-05;1.6695E-05;6.54453E-05;VI;Polish Academy of Science;2023/01/09 20:45:43+00;POL;180;180
39.02000046;-76.94999695;2006/08/01 03:12:00+00;2006/08/28 18:17:00+00;0.073972603;2006;0;BEL;420;Beltsville (MD);191;Goddard_teff.dat;38.99;-76.833;0.14699741;-10.12014586;3.339051198;10.65676382;IV;Howard University;;USA;34;34
39.02000046;-76.94999695;2001/01/01 00:00:00+00;2006/09/28 00:00:00+00;5.742465753;2006;1;BEL;420;Beltsville (MD);191;Goddard_teff.dat;38.99;-76.833;0.14699741;-10.12014586;3.339051198;10.65676382;IV;US Department of Agriculture - Colorado State University;;USA;34;34
52.47;13.43;1966/11/02 09:00:00+00;1973/01/17 11:00:00+00;6.21369863;1973;1;BRL;181;Berlin-Tempelhof;65;Berlin_teff.dat;52.31;13.25;0.34;12.22915576;17.808;21.60271082;VI;UNKNOWN;;DEU;50;50
29.30220032;-103.1772003;1997/02/20 07:39:27+00;2003/05/26 05:37:37+00;6.263013699;2003;1;BBE;383;Big Bend (TX);66;Big_Bend_teff.dat;29.17;-103.1;0.20940062;-7.498251165;14.71389562;16.51431182;IV;US Environmental Protection Agency and the University of Georgia at Athens;;USA;1052;1052
36.61999893;-97.5;2001/01/01 00:00:00+00;2006/09/20 00:00:00+00;5.720547945;2006;1;BIL;421;Billings (OK);292;Lamont_teff.dat;36.35;-97.28;0.48999893;-19.68880049;30.05088091;35.92637343;IV;US Department of Agriculture - Colorado State University;;USA;317;317
44.37810135;-1.231099963;1976/03/16 00:00:00+00;1983/01/19 13:00:00+00;6.849315068;1983;1;BIS;197;Biscarrosse / SMS;68;Biscarrosse_teff.dat;44.367;-1.233;0.013001387;0.151184952;1.235580255;1.244795347;VI;National Centre for Scientific Research - France;;FRA;167;167
46.76666641;-100.75;1957/07/01 00:00:00+00;2022/10/01 00:00:00+00;65.29589041;2022;1;BMK;19;Bismarck (ND);69;Bismarck_teff.dat;46.767;-100.75;0.00033359;0;-0.037128567;0.037128567;IV;NOAA - Climate Monitoring and Diagnostics Laboratory;2023/03/07 20:34:15+00;USA;511;511
4.598888874;-74.08083344;1998/02/16 21:07:00+00;2008/09/25 15:09:00+00;10.61369863;2008;1;BGT;525;Bogota;70;Bogota_teff.dat;4.3;-74.04;0.339722314;-4.531069919;33.26633168;33.57349279;III;Instituto de HidrologÃ­a, MeteorologÃ­a y Estudios Ambientales;2017/10/16 17:21:57+00;COL;2541;2541
46.91999817;142.7299957;1974/01/01 00:00:00+00;2022/12/02 00:00:00+00;48.95068493;2022;1;BSH;112;Bol'shaya Elan;71;Bolshaya_Elan_teff.dat;46.917;142.733;0.00600247;-0.228431005;0.333696321;0.404393322;VI;Main Geophysical Observatory of  Russia;2018/04/24 12:51:46+00;RUS;22;22
40.04999924;-88.3666687;2001/01/01 00:00:00+00;2006/09/28 00:00:00+00;5.742465753;2006;1;BND;357;Bondville (IL);585;Urbana_Field_Station_teff.dat;40.12;-88.11;0.32666946;-21.85892707;-7.791084588;23.20589778;IV;US Department of Agriculture - Colorado State University;;USA;213;213
44.84000015;-0.529999971;1985/02/04 00:00:00+00;2003/09/14 00:00:00+00;18.61917808;2003;1;BOD;419;Bordeaux;73;Bordeaux_teff.dat;44.5;-0.533;0.343000179;0.237495704;37.8420167;37.84276195;VI;Universite Bordeux;;FRA;73;73
39.99100113;-105.2610016;1997/01/01 07:57:44+00;2003/02/12 07:17:29+00;6.117808219;2003;1;BLD;67;Boulder ESRL HQ (CO);76;Boulder_teff.dat;40.03;-105.25;0.05000047;-0.937964066;-4.340574231;4.440761336;IV;US Environmental Protection Agency and the University of Georgia at Athens;2018/05/04 13:55:18+00;USA;1634;1634
39.99100113;-105.2610016;1963/08/21 00:00:00+00;2022/12/04 00:00:00+00;59.32876712;2022;1;BLD;67;Boulder ESRL HQ (CO);76;Boulder_teff.dat;40.03;-105.25;0.05000047;-0.937964066;-4.340574231;4.440761336;IV;NOAA - Climate Monitoring and Diagnostics Laboratory;2020/11/17 20:00:08+00;USA;1634;1634
40.125;-105.2369995;2001/01/01 00:00:00+00;2006/09/28 00:00:00+00;5.742465753;2006;1;BOS;424;Boulder Table Mountain (CO);76;Boulder_teff.dat;40.03;-105.25;0.1080005;1.107296179;10.5735;10.63132198;IV;US Department of Agriculture - Colorado State University;;USA;1689;1689
51.38000107;-0.779999971;1967/03/30 00:00:00+00;1989/08/01 00:00:00+00;22.35616438;1989;1;BRK;102;Bracknell;79;Bracknell_teff.dat;51.38;-0.78;1.099E-06;2.015E-06;0.000119091;0.000119108;VI;UK Meteorological Office;2019/06/04 15:53:38+00;GBR;70;70
50.201631;-104.711259;1994/03/15 00:00:00+00;2011/11/30 17:15:00+00;17.72328767;2011;1;BRA;338;Bratt's Lake;81;Bratts_lake_teff.dat;50.205;-104.713;0.00511;0.124052161;-0.3749697;0.394957231;IV;Meteorological Service of Canada (Atmospheric Environment Service);2018/04/24 12:51:57+00;CAN;580;580
50.201631;-104.711259;2001/01/01 00:00:00+00;2006/09/28 00:00:00+00;5.742465753;2006;1;BRA;338;Bratt's Lake;81;Bratts_lake_teff.dat;50.205;-104.713;0.00511;0.124052161;-0.3749697;0.394957231;IV;US Department of Agriculture - Colorado State University;;CAN;580;580
-4.28000021;15.25;1990/04/06 15:00:00+00;1992/10/20 10:00:00+00;2.542465753;1992;0;BZV;329;Brazzaville;83;Brazzaville_Kinshasa_teff.dat;-4.28;15.25;2.1E-07;0;-2.3373E-05;2.3373E-05;I;NASA - Langley Research Center;;COG;314;314
40.63333511;17.95000076;1982/09/01 00:00:00+00;1993/08/01 00:00:00+00;10.92328767;1993;1;BRD;243;Brindisi;86;Brindisi_teff.dat;40.65;17.95;0.01666565;6.41926E-05;-1.854802257;1.854802258;VI;Meteorological Service of the Italian Military Airforce;;ITA;5;5
-27.41666603;153.0833282;1957/07/02 00:00:00+00;2023/05/01 00:00:00+00;65.8739726;2023;1;BBN;27;Brisbane;87;Brisbane_teff.dat;-27.39;153.13;0.07333783;-4.611896979;-2.967929139;5.484359317;V;Australian Bureau of Meteorology;2019/06/04 15:53:39+00;AUS;3;3
-37.68991852;144.9470673;1999/02/16 03:22:00+00;2023/08/15 23:53:35+00;24.50958904;2023;1;BRO;394;Broadmeadows;89;Broadmeadows_teff.dat;-37.691;144.947;0.00114878;0.005927983;0.120368724;0.120514608;V;Australian Bureau of Meteorology;2019/09/18 13:28:58+00;AUS;108;108
44.511;26.078;1980/01/07 00:00:00+00;2017/12/04 00:00:00+00;37.93424658;2017;1;ANM;226;Bucharest;90;Bucharest_teff.dat;44.48;26.13;0.083;-4.128921097;3.4503;5.380758266;VI;Romanian National Institute of Meteorology and Hydrology;2018/04/24 12:51:58+00;ROU;91;91
44.511;26.078;1980/01/07 00:00:00+00;2022/08/01 00:00:00+00;42.59452055;2022;1;ANM;226;Bucharest;90;Bucharest_teff.dat;44.48;26.13;0.083;-4.128921097;3.4503;5.380758266;VI;Romanian National Meteorological Administration;2018/04/24 12:51:58+00;ROU;;
47.43333435;19.18333244;1967/01/02 00:00:00+00;2013/12/01 00:00:00+00;46.94520548;2013;1;BPL;100;Budapest - Lorinc;91;Budapest-lorinc_teff.dat;47.433;19.183;0.00066679;0.025033283;0.037213155;0.044849573;VI;Hungarian Meteorological Service;;HUN;139;139
-34.590015;-58.48388;1965/10/01 00:00:00+00;2019/03/01 00:00:00+00;53.44931507;2019;1;BSO;91;Buenos Aires Observatorio;92;Buenos_Aires_teff.dat;-34.581;-58.483;0.009895;-0.080641664;-1.0033695;1.006604903;III;National Meteorological Service of Argentina;2018/05/04 13:55:18+00;ARG;25;25
1.5;30.21999931;2019/04/01 00:00:00+00;;#WERT!;#WERT!;#WERT!;BNI;61;Bunia;256;Kampala_teff.dat;0.11;32.2;3.37000069;-220.3523345;154.707;269.2385692;I;UNKNOWN;2019/04/02 06:00:01+00;COG;1239;1239
1.5;30.21999931;1959/08/07 00:00:00+00;1960/07/04 00:00:00+00;0.909589041;1960;0;BNI;61;Bunia;256;Kampala_teff.dat;0.11;32.2;3.37000069;-220.3523345;154.707;269.2385692;I;UNKNOWN;;COG;;
44.52999878;-72.86000061;2001/01/01 00:00:00+00;2006/09/28 00:00:00+00;5.742465753;2006;1;BTV;374;Burlington (VT);93;Burlington_teff.dat;44.16;-73.05;0.55999817;15.12525932;41.18086421;43.87068551;IV;US Department of Agriculture - Colorado State University;;USA;408;408
-80.02999878;-119.5199966;1962/08/09 00:00:00+00;1968/10/01 00:00:00+00;6.150684932;1968;1;BYR;72;Byrd;94;Byrd_teff.dat;-80.01;-119.31;0.22999538;-4.05664311;-2.225864214;4.627183249;the Antarctic;UNKNOWN;;ATA;1528;1528
-23.5;-46.20000076;1974/05/08 00:00:00+00;2018/11/01 00:00:00+00;44.51506849;2018;1;CCP;200;Cachoeira-Paulista;497;Sao_Paulo_teff.dat;-23.31;-46.37;0.35999924;17.36468096;-21.147;27.36289008;III;Brazilian National Institute for Space Research;2018/06/05 18:45:18+00;BRA;792;792
39.25;9.050000191;1954/10/01 00:00:00+00;1989/05/01 00:00:00+00;34.60547945;1989;1;CAE;38;Cagliari/Elmas;97;Cagliari-Elmas_teff.dat;39.25;9.05;1.91E-07;1.6464E-05;0;1.6464E-05;VI;Meteorological Service of the Italian Military Airforce;;ITA;4;4
-16.87999916;145.75;1975/07/05 00:00:00+00;1983/05/02 00:00:00+00;7.830136986;1983;1;CNS;193;Cairns;99;Cairns_teff.dat;-16.883;145.75;0.00300084;0;0.333993492;0.333993492;V;Australian Bureau of Meteorology;;AUS;3;3
30.08333397;31.28333282;1967/10/23 00:00:00+00;2021/10/01 00:00:00+00;53.97808219;2021;1;CAI;152;Cairo;100;Cairo_teff.dat;30.08;31.28;0.00666679;0.32099967;0.371070861;0.490646891;I;Egyptian Meteorological Authority;2018/04/24 12:51:58+00;EGY;35;35
50.21666718;-5.316666603;2000/07/01 00:00:00+00;2003/12/01 00:00:00+00;3.419178082;2003;0;CBR;36;Camborne;101;Camborne_teff.dat;50.217;-5.317;0.000666217;0.023748943;-0.037042866;0.044002116;VI;UK National Environmental Technology Centre;2018/05/04 13:52:58+00;GBR;88;88
